#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.59E-01
4.00E-02,9.21E-02
6.00E-02,6.65E-02
8.00E-02,5.28E-02
1.00E-01,4.42E-02
1.20E-01,3.82E-02
1.40E-01,3.38E-02
1.60E-01,3.04E-02
1.80E-01,2.77E-02
2.00E-01,2.56E-02
2.20E-01,2.37E-02
2.40E-01,2.22E-02
2.60E-01,2.09E-02
2.80E-01,1.98E-02
3.00E-01,1.88E-02
3.20E-01,1.79E-02
3.40E-01,1.72E-02
3.60E-01,1.65E-02
3.80E-01,1.58E-02
4.00E-01,1.53E-02
4.20E-01,1.48E-02
4.40E-01,1.43E-02
4.60E-01,1.39E-02
4.80E-01,1.35E-02
5.00E-01,1.31E-02
5.20E-01,1.28E-02
5.40E-01,1.24E-02
5.60E-01,1.22E-02
5.80E-01,1.19E-02
6.00E-01,1.16E-02
6.20E-01,1.14E-02
6.40E-01,1.12E-02
6.60E-01,1.09E-02
6.80E-01,1.07E-02
7.00E-01,1.06E-02
7.20E-01,1.04E-02
7.40E-01,1.02E-02
7.60E-01,1.00E-02
7.80E-01,9.90E-03
8.00E-01,9.75E-03
8.20E-01,9.61E-03
8.40E-01,9.48E-03
8.60E-01,9.36E-03
8.80E-01,9.24E-03
9.00E-01,9.12E-03
9.20E-01,9.01E-03
9.40E-01,8.91E-03
9.60E-01,8.81E-03
9.80E-01,8.71E-03
1.00E+00,8.62E-03
1.02E+00,8.53E-03
1.04E+00,8.45E-03
1.06E+00,8.36E-03
1.08E+00,8.28E-03
1.10E+00,8.21E-03
1.12E+00,8.14E-03
1.14E+00,8.06E-03
1.16E+00,8.00E-03
1.18E+00,7.93E-03
1.20E+00,7.87E-03
1.22E+00,7.81E-03
1.24E+00,7.75E-03
1.26E+00,7.69E-03
1.28E+00,7.63E-03
1.30E+00,7.58E-03
1.32E+00,7.53E-03
1.34E+00,7.48E-03
1.36E+00,7.43E-03
1.38E+00,7.38E-03
1.40E+00,7.33E-03
1.42E+00,7.29E-03
1.44E+00,7.25E-03
1.46E+00,7.20E-03
1.48E+00,7.16E-03
1.50E+00,7.12E-03
1.52E+00,7.09E-03
1.54E+00,7.05E-03
1.56E+00,7.01E-03
1.58E+00,6.98E-03
1.60E+00,6.94E-03
1.62E+00,6.91E-03
1.64E+00,6.87E-03
1.66E+00,6.84E-03
1.68E+00,6.81E-03
1.70E+00,6.78E-03
1.72E+00,6.75E-03
1.74E+00,6.72E-03
1.76E+00,6.70E-03
1.78E+00,6.67E-03
1.80E+00,6.64E-03
1.82E+00,6.62E-03
1.84E+00,6.59E-03
1.86E+00,6.57E-03
1.88E+00,6.54E-03
1.90E+00,6.52E-03
1.92E+00,6.49E-03
1.94E+00,6.47E-03
1.96E+00,6.45E-03
1.98E+00,6.43E-03
2.00E+00,6.41E-03
