#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,5.22E-01
4.00E-02,3.00E-01
6.00E-02,2.18E-01
8.00E-02,1.74E-01
1.00E-01,1.48E-01
1.20E-01,1.29E-01
1.40E-01,1.16E-01
1.60E-01,1.06E-01
1.80E-01,9.76E-02
2.00E-01,9.12E-02
2.20E-01,8.59E-02
2.40E-01,8.14E-02
2.60E-01,7.76E-02
2.80E-01,7.44E-02
3.00E-01,7.15E-02
3.20E-01,6.91E-02
3.40E-01,6.69E-02
3.60E-01,6.50E-02
3.80E-01,6.32E-02
4.00E-01,6.17E-02
4.20E-01,6.03E-02
4.40E-01,5.90E-02
4.60E-01,5.79E-02
4.80E-01,5.68E-02
5.00E-01,5.59E-02
5.20E-01,5.50E-02
5.40E-01,5.42E-02
5.60E-01,5.34E-02
5.80E-01,5.27E-02
6.00E-01,5.21E-02
6.20E-01,5.15E-02
6.40E-01,5.09E-02
6.60E-01,5.04E-02
6.80E-01,4.99E-02
7.00E-01,4.94E-02
7.20E-01,4.90E-02
7.40E-01,4.86E-02
7.60E-01,4.83E-02
7.80E-01,4.79E-02
8.00E-01,4.76E-02
8.20E-01,4.73E-02
8.40E-01,4.70E-02
8.60E-01,4.67E-02
8.80E-01,4.64E-02
9.00E-01,4.62E-02
9.20E-01,4.60E-02
9.40E-01,4.57E-02
9.60E-01,4.55E-02
9.80E-01,4.53E-02
1.00E+00,4.51E-02
1.02E+00,4.50E-02
1.04E+00,4.48E-02
1.06E+00,4.46E-02
1.08E+00,4.45E-02
1.10E+00,4.43E-02
1.12E+00,4.42E-02
1.14E+00,4.41E-02
1.16E+00,4.40E-02
1.18E+00,4.38E-02
1.20E+00,4.37E-02
1.22E+00,4.36E-02
1.24E+00,4.35E-02
1.26E+00,4.34E-02
1.28E+00,4.33E-02
1.30E+00,4.32E-02
1.32E+00,4.32E-02
1.34E+00,4.31E-02
1.36E+00,4.30E-02
1.38E+00,4.29E-02
1.40E+00,4.29E-02
1.42E+00,4.28E-02
1.44E+00,4.28E-02
1.46E+00,4.27E-02
1.48E+00,4.26E-02
1.50E+00,4.26E-02
1.52E+00,4.25E-02
1.54E+00,4.25E-02
1.56E+00,4.24E-02
1.58E+00,4.24E-02
1.60E+00,4.24E-02
1.62E+00,4.23E-02
1.64E+00,4.23E-02
1.66E+00,4.23E-02
1.68E+00,4.22E-02
1.70E+00,4.22E-02
1.72E+00,4.22E-02
1.74E+00,4.21E-02
1.76E+00,4.21E-02
1.78E+00,4.21E-02
1.80E+00,4.21E-02
1.82E+00,4.20E-02
1.84E+00,4.20E-02
1.86E+00,4.20E-02
1.88E+00,4.20E-02
1.90E+00,4.20E-02
1.92E+00,4.20E-02
1.94E+00,4.19E-02
1.96E+00,4.19E-02
1.98E+00,4.19E-02
2.00E+00,4.19E-02
