#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,3.33E-01
4.00E-02,1.91E-01
6.00E-02,1.39E-01
8.00E-02,1.11E-01
1.00E-01,9.42E-02
1.20E-01,8.24E-02
1.40E-01,7.39E-02
1.60E-01,6.74E-02
1.80E-01,6.23E-02
2.00E-01,5.82E-02
2.20E-01,5.48E-02
2.40E-01,5.20E-02
2.60E-01,4.95E-02
2.80E-01,4.75E-02
3.00E-01,4.57E-02
3.20E-01,4.41E-02
3.40E-01,4.27E-02
3.60E-01,4.15E-02
3.80E-01,4.04E-02
4.00E-01,3.94E-02
4.20E-01,3.85E-02
4.40E-01,3.77E-02
4.60E-01,3.69E-02
4.80E-01,3.63E-02
5.00E-01,3.57E-02
5.20E-01,3.51E-02
5.40E-01,3.46E-02
5.60E-01,3.41E-02
5.80E-01,3.36E-02
6.00E-01,3.32E-02
6.20E-01,3.28E-02
6.40E-01,3.25E-02
6.60E-01,3.22E-02
6.80E-01,3.19E-02
7.00E-01,3.16E-02
7.20E-01,3.13E-02
7.40E-01,3.10E-02
7.60E-01,3.08E-02
7.80E-01,3.06E-02
8.00E-01,3.04E-02
8.20E-01,3.02E-02
8.40E-01,3.00E-02
8.60E-01,2.98E-02
8.80E-01,2.96E-02
9.00E-01,2.95E-02
9.20E-01,2.93E-02
9.40E-01,2.92E-02
9.60E-01,2.91E-02
9.80E-01,2.89E-02
1.00E+00,2.88E-02
1.02E+00,2.87E-02
1.04E+00,2.86E-02
1.06E+00,2.85E-02
1.08E+00,2.84E-02
1.10E+00,2.83E-02
1.12E+00,2.82E-02
1.14E+00,2.81E-02
1.16E+00,2.81E-02
1.18E+00,2.80E-02
1.20E+00,2.79E-02
1.22E+00,2.78E-02
1.24E+00,2.78E-02
1.26E+00,2.77E-02
1.28E+00,2.77E-02
1.30E+00,2.76E-02
1.32E+00,2.76E-02
1.34E+00,2.75E-02
1.36E+00,2.75E-02
1.38E+00,2.74E-02
1.40E+00,2.74E-02
1.42E+00,2.73E-02
1.44E+00,2.73E-02
1.46E+00,2.73E-02
1.48E+00,2.72E-02
1.50E+00,2.72E-02
1.52E+00,2.72E-02
1.54E+00,2.71E-02
1.56E+00,2.71E-02
1.58E+00,2.71E-02
1.60E+00,2.70E-02
1.62E+00,2.70E-02
1.64E+00,2.70E-02
1.66E+00,2.70E-02
1.68E+00,2.70E-02
1.70E+00,2.69E-02
1.72E+00,2.69E-02
1.74E+00,2.69E-02
1.76E+00,2.69E-02
1.78E+00,2.69E-02
1.80E+00,2.69E-02
1.82E+00,2.68E-02
1.84E+00,2.68E-02
1.86E+00,2.68E-02
1.88E+00,2.68E-02
1.90E+00,2.68E-02
1.92E+00,2.68E-02
1.94E+00,2.68E-02
1.96E+00,2.68E-02
1.98E+00,2.68E-02
2.00E+00,2.68E-02
