#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,3.98E-01
4.00E-02,2.30E-01
6.00E-02,1.66E-01
8.00E-02,1.32E-01
1.00E-01,1.10E-01
1.20E-01,9.54E-02
1.40E-01,8.44E-02
1.60E-01,7.60E-02
1.80E-01,6.93E-02
2.00E-01,6.39E-02
2.20E-01,5.94E-02
2.40E-01,5.56E-02
2.60E-01,5.23E-02
2.80E-01,4.95E-02
3.00E-01,4.70E-02
3.20E-01,4.48E-02
3.40E-01,4.29E-02
3.60E-01,4.12E-02
3.80E-01,3.96E-02
4.00E-01,3.82E-02
4.20E-01,3.69E-02
4.40E-01,3.57E-02
4.60E-01,3.46E-02
4.80E-01,3.37E-02
5.00E-01,3.27E-02
5.20E-01,3.19E-02
5.40E-01,3.11E-02
5.60E-01,3.04E-02
5.80E-01,2.97E-02
6.00E-01,2.91E-02
6.20E-01,2.85E-02
6.40E-01,2.79E-02
6.60E-01,2.74E-02
6.80E-01,2.69E-02
7.00E-01,2.64E-02
7.20E-01,2.59E-02
7.40E-01,2.55E-02
7.60E-01,2.51E-02
7.80E-01,2.47E-02
8.00E-01,2.44E-02
8.20E-01,2.40E-02
8.40E-01,2.37E-02
8.60E-01,2.34E-02
8.80E-01,2.31E-02
9.00E-01,2.28E-02
9.20E-01,2.25E-02
9.40E-01,2.23E-02
9.60E-01,2.20E-02
9.80E-01,2.18E-02
1.00E+00,2.16E-02
1.02E+00,2.13E-02
1.04E+00,2.11E-02
1.06E+00,2.09E-02
1.08E+00,2.07E-02
1.10E+00,2.05E-02
1.12E+00,2.03E-02
1.14E+00,2.02E-02
1.16E+00,2.00E-02
1.18E+00,1.98E-02
1.20E+00,1.97E-02
1.22E+00,1.95E-02
1.24E+00,1.94E-02
1.26E+00,1.92E-02
1.28E+00,1.91E-02
1.30E+00,1.89E-02
1.32E+00,1.88E-02
1.34E+00,1.87E-02
1.36E+00,1.86E-02
1.38E+00,1.85E-02
1.40E+00,1.83E-02
1.42E+00,1.82E-02
1.44E+00,1.81E-02
1.46E+00,1.80E-02
1.48E+00,1.79E-02
1.50E+00,1.78E-02
1.52E+00,1.77E-02
1.54E+00,1.76E-02
1.56E+00,1.75E-02
1.58E+00,1.74E-02
1.60E+00,1.74E-02
1.62E+00,1.73E-02
1.64E+00,1.72E-02
1.66E+00,1.71E-02
1.68E+00,1.70E-02
1.70E+00,1.70E-02
1.72E+00,1.69E-02
1.74E+00,1.68E-02
1.76E+00,1.67E-02
1.78E+00,1.67E-02
1.80E+00,1.66E-02
1.82E+00,1.65E-02
1.84E+00,1.65E-02
1.86E+00,1.64E-02
1.88E+00,1.64E-02
1.90E+00,1.63E-02
1.92E+00,1.62E-02
1.94E+00,1.62E-02
1.96E+00,1.61E-02
1.98E+00,1.61E-02
2.00E+00,1.60E-02
