#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,2.66E-01
4.00E-02,1.54E-01
6.00E-02,1.11E-01
8.00E-02,8.80E-02
1.00E-01,7.36E-02
1.20E-01,6.36E-02
1.40E-01,5.63E-02
1.60E-01,5.07E-02
1.80E-01,4.62E-02
2.00E-01,4.26E-02
2.20E-01,3.96E-02
2.40E-01,3.70E-02
2.60E-01,3.49E-02
2.80E-01,3.30E-02
3.00E-01,3.13E-02
3.20E-01,2.99E-02
3.40E-01,2.86E-02
3.60E-01,2.74E-02
3.80E-01,2.64E-02
4.00E-01,2.55E-02
4.20E-01,2.46E-02
4.40E-01,2.38E-02
4.60E-01,2.31E-02
4.80E-01,2.24E-02
5.00E-01,2.18E-02
5.20E-01,2.13E-02
5.40E-01,2.07E-02
5.60E-01,2.03E-02
5.80E-01,1.98E-02
6.00E-01,1.94E-02
6.20E-01,1.90E-02
6.40E-01,1.86E-02
6.60E-01,1.82E-02
6.80E-01,1.79E-02
7.00E-01,1.76E-02
7.20E-01,1.73E-02
7.40E-01,1.70E-02
7.60E-01,1.67E-02
7.80E-01,1.65E-02
8.00E-01,1.63E-02
8.20E-01,1.60E-02
8.40E-01,1.58E-02
8.60E-01,1.56E-02
8.80E-01,1.54E-02
9.00E-01,1.52E-02
9.20E-01,1.50E-02
9.40E-01,1.48E-02
9.60E-01,1.47E-02
9.80E-01,1.45E-02
1.00E+00,1.44E-02
1.02E+00,1.42E-02
1.04E+00,1.41E-02
1.06E+00,1.39E-02
1.08E+00,1.38E-02
1.10E+00,1.37E-02
1.12E+00,1.36E-02
1.14E+00,1.34E-02
1.16E+00,1.33E-02
1.18E+00,1.32E-02
1.20E+00,1.31E-02
1.22E+00,1.30E-02
1.24E+00,1.29E-02
1.26E+00,1.28E-02
1.28E+00,1.27E-02
1.30E+00,1.26E-02
1.32E+00,1.25E-02
1.34E+00,1.25E-02
1.36E+00,1.24E-02
1.38E+00,1.23E-02
1.40E+00,1.22E-02
1.42E+00,1.22E-02
1.44E+00,1.21E-02
1.46E+00,1.20E-02
1.48E+00,1.19E-02
1.50E+00,1.19E-02
1.52E+00,1.18E-02
1.54E+00,1.17E-02
1.56E+00,1.17E-02
1.58E+00,1.16E-02
1.60E+00,1.16E-02
1.62E+00,1.15E-02
1.64E+00,1.15E-02
1.66E+00,1.14E-02
1.68E+00,1.14E-02
1.70E+00,1.13E-02
1.72E+00,1.13E-02
1.74E+00,1.12E-02
1.76E+00,1.12E-02
1.78E+00,1.11E-02
1.80E+00,1.11E-02
1.82E+00,1.10E-02
1.84E+00,1.10E-02
1.86E+00,1.09E-02
1.88E+00,1.09E-02
1.90E+00,1.09E-02
1.92E+00,1.08E-02
1.94E+00,1.08E-02
1.96E+00,1.07E-02
1.98E+00,1.07E-02
2.00E+00,1.07E-02
