#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.24E-02
4.00E-02,1.56E-02
6.00E-02,1.87E-02
8.00E-02,2.18E-02
1.00E-01,2.49E-02
1.20E-01,2.80E-02
1.40E-01,3.11E-02
1.60E-01,3.42E-02
1.80E-01,3.74E-02
2.00E-01,4.05E-02
2.20E-01,4.36E-02
2.40E-01,4.68E-02
2.60E-01,4.99E-02
2.80E-01,5.31E-02
3.00E-01,5.62E-02
3.20E-01,5.94E-02
3.40E-01,6.25E-02
3.60E-01,6.56E-02
3.80E-01,6.88E-02
4.00E-01,7.20E-02
4.20E-01,7.51E-02
4.40E-01,7.82E-02
4.60E-01,8.14E-02
4.80E-01,8.45E-02
5.00E-01,8.77E-02
5.20E-01,9.09E-02
5.40E-01,9.40E-02
5.60E-01,9.72E-02
5.80E-01,1.00E-01
6.00E-01,1.03E-01
6.20E-01,1.07E-01
6.40E-01,1.10E-01
6.60E-01,1.13E-01
6.80E-01,1.16E-01
7.00E-01,1.19E-01
7.20E-01,1.22E-01
7.40E-01,1.26E-01
7.60E-01,1.29E-01
7.80E-01,1.32E-01
8.00E-01,1.35E-01
8.20E-01,1.38E-01
8.40E-01,1.41E-01
8.60E-01,1.45E-01
8.80E-01,1.48E-01
9.00E-01,1.51E-01
9.20E-01,1.54E-01
9.40E-01,1.57E-01
9.60E-01,1.60E-01
9.80E-01,1.64E-01
1.00E+00,1.67E-01
1.02E+00,1.70E-01
1.04E+00,1.73E-01
1.06E+00,1.76E-01
1.08E+00,1.80E-01
1.10E+00,1.83E-01
1.12E+00,1.86E-01
1.14E+00,1.89E-01
1.16E+00,1.92E-01
1.18E+00,1.96E-01
1.20E+00,1.99E-01
1.22E+00,2.02E-01
1.24E+00,2.05E-01
1.26E+00,2.08E-01
1.28E+00,2.12E-01
1.30E+00,2.15E-01
1.32E+00,2.18E-01
1.34E+00,2.21E-01
1.36E+00,2.25E-01
1.38E+00,2.28E-01
1.40E+00,2.31E-01
1.42E+00,2.34E-01
1.44E+00,2.37E-01
1.46E+00,2.41E-01
1.48E+00,2.44E-01
1.50E+00,2.47E-01
1.52E+00,2.50E-01
1.54E+00,2.54E-01
1.56E+00,2.57E-01
1.58E+00,2.60E-01
1.60E+00,2.63E-01
1.62E+00,2.66E-01
1.64E+00,2.70E-01
1.66E+00,2.73E-01
1.68E+00,2.76E-01
1.70E+00,2.79E-01
1.72E+00,2.82E-01
1.74E+00,2.86E-01
1.76E+00,2.89E-01
1.78E+00,2.92E-01
1.80E+00,2.95E-01
1.82E+00,2.99E-01
1.84E+00,3.02E-01
1.86E+00,3.05E-01
1.88E+00,3.08E-01
1.90E+00,3.11E-01
1.92E+00,3.15E-01
1.94E+00,3.18E-01
1.96E+00,3.21E-01
1.98E+00,3.24E-01
2.00E+00,3.28E-01
