#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,2.49E-02
4.00E-02,3.12E-02
6.00E-02,3.74E-02
8.00E-02,4.35E-02
1.00E-01,4.97E-02
1.20E-01,5.59E-02
1.40E-01,6.22E-02
1.60E-01,6.85E-02
1.80E-01,7.47E-02
2.00E-01,8.10E-02
2.20E-01,8.73E-02
2.40E-01,9.35E-02
2.60E-01,9.98E-02
2.80E-01,1.06E-01
3.00E-01,1.12E-01
3.20E-01,1.19E-01
3.40E-01,1.25E-01
3.60E-01,1.31E-01
3.80E-01,1.38E-01
4.00E-01,1.44E-01
4.20E-01,1.50E-01
4.40E-01,1.56E-01
4.60E-01,1.63E-01
4.80E-01,1.69E-01
5.00E-01,1.75E-01
5.20E-01,1.82E-01
5.40E-01,1.88E-01
5.60E-01,1.94E-01
5.80E-01,2.01E-01
6.00E-01,2.07E-01
6.20E-01,2.13E-01
6.40E-01,2.20E-01
6.60E-01,2.26E-01
6.80E-01,2.32E-01
7.00E-01,2.38E-01
7.20E-01,2.45E-01
7.40E-01,2.51E-01
7.60E-01,2.57E-01
7.80E-01,2.64E-01
8.00E-01,2.70E-01
8.20E-01,2.76E-01
8.40E-01,2.83E-01
8.60E-01,2.89E-01
8.80E-01,2.95E-01
9.00E-01,3.02E-01
9.20E-01,3.08E-01
9.40E-01,3.14E-01
9.60E-01,3.21E-01
9.80E-01,3.27E-01
1.00E+00,3.33E-01
1.02E+00,3.40E-01
1.04E+00,3.46E-01
1.06E+00,3.53E-01
1.08E+00,3.59E-01
1.10E+00,3.66E-01
1.12E+00,3.72E-01
1.14E+00,3.78E-01
1.16E+00,3.85E-01
1.18E+00,3.91E-01
1.20E+00,3.98E-01
1.22E+00,4.04E-01
1.24E+00,4.11E-01
1.26E+00,4.17E-01
1.28E+00,4.23E-01
1.30E+00,4.30E-01
1.32E+00,4.36E-01
1.34E+00,4.43E-01
1.36E+00,4.49E-01
1.38E+00,4.56E-01
1.40E+00,4.62E-01
1.42E+00,4.68E-01
1.44E+00,4.75E-01
1.46E+00,4.81E-01
1.48E+00,4.88E-01
1.50E+00,4.94E-01
1.52E+00,5.01E-01
1.54E+00,5.07E-01
1.56E+00,5.13E-01
1.58E+00,5.20E-01
1.60E+00,5.26E-01
1.62E+00,5.33E-01
1.64E+00,5.39E-01
1.66E+00,5.46E-01
1.68E+00,5.52E-01
1.70E+00,5.58E-01
1.72E+00,5.65E-01
1.74E+00,5.71E-01
1.76E+00,5.78E-01
1.78E+00,5.84E-01
1.80E+00,5.91E-01
1.82E+00,5.97E-01
1.84E+00,6.04E-01
1.86E+00,6.10E-01
1.88E+00,6.16E-01
1.90E+00,6.23E-01
1.92E+00,6.29E-01
1.94E+00,6.36E-01
1.96E+00,6.42E-01
1.98E+00,6.49E-01
2.00E+00,6.55E-01
