#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.19E-01
4.00E-02,7.61E-02
6.00E-02,6.14E-02
8.00E-02,5.42E-02
1.00E-01,5.01E-02
1.20E-01,4.74E-02
1.40E-01,4.57E-02
1.60E-01,4.45E-02
1.80E-01,4.36E-02
2.00E-01,4.30E-02
2.20E-01,4.26E-02
2.40E-01,4.23E-02
2.60E-01,4.21E-02
2.80E-01,4.20E-02
3.00E-01,4.19E-02
3.20E-01,4.18E-02
3.40E-01,4.18E-02
3.60E-01,4.18E-02
3.80E-01,4.19E-02
4.00E-01,4.19E-02
4.20E-01,4.20E-02
4.40E-01,4.21E-02
4.60E-01,4.21E-02
4.80E-01,4.22E-02
5.00E-01,4.23E-02
5.20E-01,4.24E-02
5.40E-01,4.26E-02
5.60E-01,4.27E-02
5.80E-01,4.28E-02
6.00E-01,4.29E-02
6.20E-01,4.30E-02
6.40E-01,4.31E-02
6.60E-01,4.32E-02
6.80E-01,4.33E-02
7.00E-01,4.35E-02
7.20E-01,4.36E-02
7.40E-01,4.37E-02
7.60E-01,4.38E-02
7.80E-01,4.39E-02
8.00E-01,4.40E-02
8.20E-01,4.41E-02
8.40E-01,4.42E-02
8.60E-01,4.44E-02
8.80E-01,4.45E-02
9.00E-01,4.46E-02
9.20E-01,4.47E-02
9.40E-01,4.48E-02
9.60E-01,4.49E-02
9.80E-01,4.50E-02
1.00E+00,4.50E-02
1.02E+00,4.51E-02
1.04E+00,4.52E-02
1.06E+00,4.53E-02
1.08E+00,4.54E-02
1.10E+00,4.55E-02
1.12E+00,4.56E-02
1.14E+00,4.57E-02
1.16E+00,4.57E-02
1.18E+00,4.58E-02
1.20E+00,4.59E-02
1.22E+00,4.60E-02
1.24E+00,4.61E-02
1.26E+00,4.61E-02
1.28E+00,4.62E-02
1.30E+00,4.63E-02
1.32E+00,4.64E-02
1.34E+00,4.64E-02
1.36E+00,4.65E-02
1.38E+00,4.66E-02
1.40E+00,4.66E-02
1.42E+00,4.67E-02
1.44E+00,4.68E-02
1.46E+00,4.68E-02
1.48E+00,4.69E-02
1.50E+00,4.69E-02
1.52E+00,4.70E-02
1.54E+00,4.71E-02
1.56E+00,4.71E-02
1.58E+00,4.72E-02
1.60E+00,4.72E-02
1.62E+00,4.73E-02
1.64E+00,4.74E-02
1.66E+00,4.74E-02
1.68E+00,4.75E-02
1.70E+00,4.75E-02
1.72E+00,4.76E-02
1.74E+00,4.76E-02
1.76E+00,4.77E-02
1.78E+00,4.77E-02
1.80E+00,4.78E-02
1.82E+00,4.78E-02
1.84E+00,4.79E-02
1.86E+00,4.79E-02
1.88E+00,4.80E-02
1.90E+00,4.80E-02
1.92E+00,4.81E-02
1.94E+00,4.81E-02
1.96E+00,4.82E-02
1.98E+00,4.82E-02
2.00E+00,4.83E-02
