#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.16E+00
4.00E-02,6.67E-01
6.00E-02,4.82E-01
8.00E-02,3.83E-01
1.00E-01,3.20E-01
1.20E-01,2.78E-01
1.40E-01,2.47E-01
1.60E-01,2.23E-01
1.80E-01,2.04E-01
2.00E-01,1.88E-01
2.20E-01,1.76E-01
2.40E-01,1.65E-01
2.60E-01,1.56E-01
2.80E-01,1.48E-01
3.00E-01,1.41E-01
3.20E-01,1.35E-01
3.40E-01,1.29E-01
3.60E-01,1.25E-01
3.80E-01,1.20E-01
4.00E-01,1.16E-01
4.20E-01,1.13E-01
4.40E-01,1.10E-01
4.60E-01,1.07E-01
4.80E-01,1.04E-01
5.00E-01,1.01E-01
5.20E-01,9.91E-02
5.40E-01,9.69E-02
5.60E-01,9.49E-02
5.80E-01,9.31E-02
6.00E-01,9.13E-02
6.20E-01,8.97E-02
6.40E-01,8.82E-02
6.60E-01,8.67E-02
6.80E-01,8.54E-02
7.00E-01,8.41E-02
7.20E-01,8.29E-02
7.40E-01,8.18E-02
7.60E-01,8.07E-02
7.80E-01,7.97E-02
8.00E-01,7.87E-02
8.20E-01,7.78E-02
8.40E-01,7.70E-02
8.60E-01,7.61E-02
8.80E-01,7.53E-02
9.00E-01,7.46E-02
9.20E-01,7.39E-02
9.40E-01,7.32E-02
9.60E-01,7.25E-02
9.80E-01,7.19E-02
1.00E+00,7.13E-02
1.02E+00,7.07E-02
1.04E+00,7.02E-02
1.06E+00,6.96E-02
1.08E+00,6.91E-02
1.10E+00,6.86E-02
1.12E+00,6.82E-02
1.14E+00,6.77E-02
1.16E+00,6.73E-02
1.18E+00,6.69E-02
1.20E+00,6.65E-02
1.22E+00,6.61E-02
1.24E+00,6.57E-02
1.26E+00,6.53E-02
1.28E+00,6.50E-02
1.30E+00,6.46E-02
1.32E+00,6.43E-02
1.34E+00,6.40E-02
1.36E+00,6.37E-02
1.38E+00,6.34E-02
1.40E+00,6.31E-02
1.42E+00,6.28E-02
1.44E+00,6.26E-02
1.46E+00,6.23E-02
1.48E+00,6.21E-02
1.50E+00,6.18E-02
1.52E+00,6.16E-02
1.54E+00,6.14E-02
1.56E+00,6.11E-02
1.58E+00,6.09E-02
1.60E+00,6.07E-02
1.62E+00,6.05E-02
1.64E+00,6.03E-02
1.66E+00,6.01E-02
1.68E+00,6.00E-02
1.70E+00,5.98E-02
1.72E+00,5.96E-02
1.74E+00,5.94E-02
1.76E+00,5.93E-02
1.78E+00,5.91E-02
1.80E+00,5.90E-02
1.82E+00,5.88E-02
1.84E+00,5.87E-02
1.86E+00,5.85E-02
1.88E+00,5.84E-02
1.90E+00,5.82E-02
1.92E+00,5.81E-02
1.94E+00,5.80E-02
1.96E+00,5.79E-02
1.98E+00,5.77E-02
2.00E+00,5.76E-02
