#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,7.55E-03
4.00E-02,9.48E-03
6.00E-02,1.13E-02
8.00E-02,1.32E-02
1.00E-01,1.50E-02
1.20E-01,1.69E-02
1.40E-01,1.88E-02
1.60E-01,2.07E-02
1.80E-01,2.25E-02
2.00E-01,2.44E-02
2.20E-01,2.63E-02
2.40E-01,2.82E-02
2.60E-01,3.01E-02
2.80E-01,3.20E-02
3.00E-01,3.38E-02
3.20E-01,3.57E-02
3.40E-01,3.76E-02
3.60E-01,3.95E-02
3.80E-01,4.14E-02
4.00E-01,4.33E-02
4.20E-01,4.52E-02
4.40E-01,4.71E-02
4.60E-01,4.90E-02
4.80E-01,5.08E-02
5.00E-01,5.27E-02
5.20E-01,5.46E-02
5.40E-01,5.65E-02
5.60E-01,5.84E-02
5.80E-01,6.03E-02
6.00E-01,6.22E-02
6.20E-01,6.41E-02
6.40E-01,6.60E-02
6.60E-01,6.79E-02
6.80E-01,6.98E-02
7.00E-01,7.17E-02
7.20E-01,7.36E-02
7.40E-01,7.55E-02
7.60E-01,7.74E-02
7.80E-01,7.93E-02
8.00E-01,8.12E-02
8.20E-01,8.31E-02
8.40E-01,8.50E-02
8.60E-01,8.68E-02
8.80E-01,8.87E-02
9.00E-01,9.06E-02
9.20E-01,9.25E-02
9.40E-01,9.44E-02
9.60E-01,9.63E-02
9.80E-01,9.82E-02
1.00E+00,1.00E-01
1.02E+00,1.02E-01
1.04E+00,1.04E-01
1.06E+00,1.06E-01
1.08E+00,1.08E-01
1.10E+00,1.10E-01
1.12E+00,1.12E-01
1.14E+00,1.14E-01
1.16E+00,1.16E-01
1.18E+00,1.17E-01
1.20E+00,1.19E-01
1.22E+00,1.21E-01
1.24E+00,1.23E-01
1.26E+00,1.25E-01
1.28E+00,1.27E-01
1.30E+00,1.29E-01
1.32E+00,1.31E-01
1.34E+00,1.33E-01
1.36E+00,1.35E-01
1.38E+00,1.37E-01
1.40E+00,1.39E-01
1.42E+00,1.41E-01
1.44E+00,1.43E-01
1.46E+00,1.45E-01
1.48E+00,1.46E-01
1.50E+00,1.48E-01
1.52E+00,1.50E-01
1.54E+00,1.52E-01
1.56E+00,1.54E-01
1.58E+00,1.56E-01
1.60E+00,1.58E-01
1.62E+00,1.60E-01
1.64E+00,1.62E-01
1.66E+00,1.64E-01
1.68E+00,1.66E-01
1.70E+00,1.68E-01
1.72E+00,1.70E-01
1.74E+00,1.72E-01
1.76E+00,1.73E-01
1.78E+00,1.75E-01
1.80E+00,1.77E-01
1.82E+00,1.79E-01
1.84E+00,1.81E-01
1.86E+00,1.83E-01
1.88E+00,1.85E-01
1.90E+00,1.87E-01
1.92E+00,1.89E-01
1.94E+00,1.91E-01
1.96E+00,1.93E-01
1.98E+00,1.95E-01
2.00E+00,1.97E-01
