#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,1.22E+00
4.00E-02,7.01E-01
6.00E-02,5.09E-01
8.00E-02,4.08E-01
1.00E-01,3.45E-01
1.20E-01,3.02E-01
1.40E-01,2.71E-01
1.60E-01,2.47E-01
1.80E-01,2.28E-01
2.00E-01,2.13E-01
2.20E-01,2.01E-01
2.40E-01,1.91E-01
2.60E-01,1.82E-01
2.80E-01,1.74E-01
3.00E-01,1.67E-01
3.20E-01,1.62E-01
3.40E-01,1.57E-01
3.60E-01,1.52E-01
3.80E-01,1.48E-01
4.00E-01,1.44E-01
4.20E-01,1.41E-01
4.40E-01,1.38E-01
4.60E-01,1.35E-01
4.80E-01,1.33E-01
5.00E-01,1.31E-01
5.20E-01,1.29E-01
5.40E-01,1.27E-01
5.60E-01,1.25E-01
5.80E-01,1.23E-01
6.00E-01,1.22E-01
6.20E-01,1.20E-01
6.40E-01,1.19E-01
6.60E-01,1.18E-01
6.80E-01,1.17E-01
7.00E-01,1.16E-01
7.20E-01,1.15E-01
7.40E-01,1.14E-01
7.60E-01,1.13E-01
7.80E-01,1.12E-01
8.00E-01,1.11E-01
8.20E-01,1.11E-01
8.40E-01,1.10E-01
8.60E-01,1.09E-01
8.80E-01,1.09E-01
9.00E-01,1.08E-01
9.20E-01,1.08E-01
9.40E-01,1.07E-01
9.60E-01,1.07E-01
9.80E-01,1.06E-01
1.00E+00,1.06E-01
1.02E+00,1.05E-01
1.04E+00,1.05E-01
1.06E+00,1.04E-01
1.08E+00,1.04E-01
1.10E+00,1.04E-01
1.12E+00,1.03E-01
1.14E+00,1.03E-01
1.16E+00,1.03E-01
1.18E+00,1.03E-01
1.20E+00,1.02E-01
1.22E+00,1.02E-01
1.24E+00,1.02E-01
1.26E+00,1.02E-01
1.28E+00,1.01E-01
1.30E+00,1.01E-01
1.32E+00,1.01E-01
1.34E+00,1.01E-01
1.36E+00,1.01E-01
1.38E+00,1.01E-01
1.40E+00,1.00E-01
1.42E+00,1.00E-01
1.44E+00,1.00E-01
1.46E+00,9.99E-02
1.48E+00,9.98E-02
1.50E+00,9.97E-02
1.52E+00,9.96E-02
1.54E+00,9.94E-02
1.56E+00,9.93E-02
1.58E+00,9.92E-02
1.60E+00,9.91E-02
1.62E+00,9.91E-02
1.64E+00,9.90E-02
1.66E+00,9.89E-02
1.68E+00,9.88E-02
1.70E+00,9.88E-02
1.72E+00,9.87E-02
1.74E+00,9.86E-02
1.76E+00,9.86E-02
1.78E+00,9.85E-02
1.80E+00,9.85E-02
1.82E+00,9.84E-02
1.84E+00,9.84E-02
1.86E+00,9.83E-02
1.88E+00,9.83E-02
1.90E+00,9.82E-02
1.92E+00,9.82E-02
1.94E+00,9.82E-02
1.96E+00,9.81E-02
1.98E+00,9.81E-02
2.00E+00,9.81E-02
