#Kinectic_energy [GeV],Total_st_pw [MeV/mm]
2.00E-02,8.81E-02
4.00E-02,1.11E-01
6.00E-02,1.34E-01
8.00E-02,1.58E-01
1.00E-01,1.81E-01
1.20E-01,2.04E-01
1.40E-01,2.28E-01
1.60E-01,2.51E-01
1.80E-01,2.75E-01
2.00E-01,2.98E-01
2.20E-01,3.22E-01
2.40E-01,3.45E-01
2.60E-01,3.69E-01
2.80E-01,3.92E-01
3.00E-01,4.16E-01
3.20E-01,4.39E-01
3.40E-01,4.63E-01
3.60E-01,4.87E-01
3.80E-01,5.10E-01
4.00E-01,5.34E-01
4.20E-01,5.57E-01
4.40E-01,5.81E-01
4.60E-01,6.05E-01
4.80E-01,6.28E-01
5.00E-01,6.52E-01
5.20E-01,6.76E-01
5.40E-01,6.99E-01
5.60E-01,7.23E-01
5.80E-01,7.47E-01
6.00E-01,7.70E-01
6.20E-01,7.94E-01
6.40E-01,8.18E-01
6.60E-01,8.41E-01
6.80E-01,8.65E-01
7.00E-01,8.89E-01
7.20E-01,9.12E-01
7.40E-01,9.36E-01
7.60E-01,9.60E-01
7.80E-01,9.84E-01
8.00E-01,1.01E+00
8.20E-01,1.03E+00
8.40E-01,1.05E+00
8.60E-01,1.08E+00
8.80E-01,1.10E+00
9.00E-01,1.13E+00
9.20E-01,1.15E+00
9.40E-01,1.17E+00
9.60E-01,1.20E+00
9.80E-01,1.22E+00
1.00E+00,1.24E+00
1.02E+00,1.27E+00
1.04E+00,1.29E+00
1.06E+00,1.32E+00
1.08E+00,1.34E+00
1.10E+00,1.37E+00
1.12E+00,1.39E+00
1.14E+00,1.41E+00
1.16E+00,1.44E+00
1.18E+00,1.46E+00
1.20E+00,1.49E+00
1.22E+00,1.51E+00
1.24E+00,1.53E+00
1.26E+00,1.56E+00
1.28E+00,1.58E+00
1.30E+00,1.61E+00
1.32E+00,1.63E+00
1.34E+00,1.65E+00
1.36E+00,1.68E+00
1.38E+00,1.70E+00
1.40E+00,1.73E+00
1.42E+00,1.75E+00
1.44E+00,1.77E+00
1.46E+00,1.80E+00
1.48E+00,1.82E+00
1.50E+00,1.85E+00
1.52E+00,1.87E+00
1.54E+00,1.90E+00
1.56E+00,1.92E+00
1.58E+00,1.94E+00
1.60E+00,1.97E+00
1.62E+00,1.99E+00
1.64E+00,2.02E+00
1.66E+00,2.04E+00
1.68E+00,2.06E+00
1.70E+00,2.09E+00
1.72E+00,2.11E+00
1.74E+00,2.14E+00
1.76E+00,2.16E+00
1.78E+00,2.19E+00
1.80E+00,2.21E+00
1.82E+00,2.23E+00
1.84E+00,2.26E+00
1.86E+00,2.28E+00
1.88E+00,2.31E+00
1.90E+00,2.33E+00
1.92E+00,2.35E+00
1.94E+00,2.38E+00
1.96E+00,2.40E+00
1.98E+00,2.43E+00
2.00E+00,2.45E+00
